Image,Model,Conf,GT_Count,Pred_Count,TP,FP,FN,Precision,Recall,F1
119_jpg.rf.a6e174c2885f180d063f540d9390a335.jpg,YOLOv9c,0.25,2,3,2,1,0,0.6666666666666666,1.0,0.8
119_jpg.rf.a6e174c2885f180d063f540d9390a335.jpg,YOLOv11,0.25,2,2,2,0,0,1.0,1.0,1.0
119_jpg.rf.a6e174c2885f180d063f540d9390a335.jpg,YOLOv12n,0.25,2,2,2,0,0,1.0,1.0,1.0
119_jpg.rf.a6e174c2885f180d063f540d9390a335.jpg,YOLOv8-FPN,0.25,2,2,2,0,0,1.0,1.0,1.0
119_jpg.rf.a6e174c2885f180d063f540d9390a335.jpg,YOLOv8n,0.5,2,1,1,0,1,1.0,0.5,0.6666666666666666
119_jpg.rf.a6e174c2885f180d063f540d9390a335.jpg,YOLOv9c,0.5,2,2,2,0,0,1.0,1.0,1.0
119_jpg.rf.a6e174c2885f180d063f540d9390a335.jpg,YOLOv11,0.5,2,0,0,0,2,0.0,0.0,0.0
119_jpg.rf.a6e174c2885f180d063f540d9390a335.jpg,YOLOv12n,0.5,2,1,1,0,1,1.0,0.5,0.6666666666666666
119_jpg.rf.a6e174c2885f180d063f540d9390a335.jpg,YOLOv8-FPN,0.5,2,0,0,0,2,0.0,0.0,0.0
119_jpg.rf.a6e174c2885f180d063f540d9390a335.jpg,YOLOv8n,0.7,2,0,0,0,2,0.0,0.0,0.0
119_jpg.rf.a6e174c2885f180d063f540d9390a335.jpg,YOLOv9c,0.7,2,0,0,0,2,0.0,0.0,0.0
119_jpg.rf.a6e174c2885f180d063f540d9390a335.jpg,YOLOv11,0.7,2,0,0,0,2,0.0,0.0,0.0
119_jpg.rf.a6e174c2885f180d063f540d9390a335.jpg,YOLOv12n,0.7,2,0,0,0,2,0.0,0.0,0.0
119_jpg.rf.a6e174c2885f180d063f540d9390a335.jpg,YOLOv8-FPN,0.7,2,0,0,0,2,0.0,0.0,0.0
147_jpg.rf.e9bfa3faeb7bf3380e0f486d503ef014.jpg,YOLOv8n,0.25,5,5,5,0,0,1.0,1.0,1.0
147_jpg.rf.e9bfa3faeb7bf3380e0f486d503ef014.jpg,YOLOv9c,0.25,5,6,5,1,0,0.8333333333333334,1.0,0.9090909090909091
147_jpg.rf.e9bfa3faeb7bf3380e0f486d503ef014.jpg,YOLOv11,0.25,5,5,5,0,0,1.0,1.0,1.0
147_jpg.rf.e9bfa3faeb7bf3380e0f486d503ef014.jpg,YOLOv12n,0.25,5,7,5,2,0,0.7142857142857143,1.0,0.8333333333333333
147_jpg.rf.e9bfa3faeb7bf3380e0f486d503ef014.jpg,YOLOv8-FPN,0.25,5,7,5,2,0,0.7142857142857143,1.0,0.8333333333333333
147_jpg.rf.e9bfa3faeb7bf3380e0f486d503ef014.jpg,YOLOv8n,0.5,5,5,5,0,0,1.0,1.0,1.0
147_jpg.rf.e9bfa3faeb7bf3380e0f486d503ef014.jpg,YOLOv9c,0.5,5,5,5,0,0,1.0,1.0,1.0
147_jpg.rf.e9bfa3faeb7bf3380e0f486d503ef014.jpg,YOLOv11,0.5,5,4,4,0,1,1.0,0.8,0.888888888888889
147_jpg.rf.e9bfa3faeb7bf3380e0f486d503ef014.jpg,YOLOv12n,0.5,5,5,5,0,0,1.0,1.0,1.0
147_jpg.rf.e9bfa3faeb7bf3380e0f486d503ef014.jpg,YOLOv8-FPN,0.5,5,4,4,0,1,1.0,0.8,0.888888888888889
147_jpg.rf.e9bfa3faeb7bf3380e0f486d503ef014.jpg,YOLOv8n,0.7,5,3,3,0,2,1.0,0.6,0.7499999999999999
147_jpg.rf.e9bfa3faeb7bf3380e0f486d503ef014.jpg,YOLOv9c,0.7,5,1,1,0,4,1.0,0.2,0.33333333333333337
147_jpg.rf.e9bfa3faeb7bf3380e0f486d503ef014.jpg,YOLOv11,0.7,5,2,2,0,3,1.0,0.4,0.5714285714285715
147_jpg.rf.e9bfa3faeb7bf3380e0f486d503ef014.jpg,YOLOv12n,0.7,5,1,1,0,4,1.0,0.2,0.33333333333333337
147_jpg.rf.e9bfa3faeb7bf3380e0f486d503ef014.jpg,YOLOv8-FPN,0.7,5,0,0,0,5,0.0,0.0,0.0
167_jpg.rf.26ecef14691a49a446f4033bfa985381.jpg,YOLOv8n,0.25,3,1,1,0,2,1.0,0.3333333333333333,0.5
167_jpg.rf.26ecef14691a49a446f4033bfa985381.jpg,YOLOv9c,0.25,3,2,1,1,2,0.5,0.3333333333333333,0.4
167_jpg.rf.26ecef14691a49a446f4033bfa985381.jpg,YOLOv11,0.25,3,2,1,1,2,0.5,0.3333333333333333,0.4
167_jpg.rf.26ecef14691a49a446f4033bfa985381.jpg,YOLOv12n,0.25,3,2,1,1,2,0.5,0.3333333333333333,0.4
167_jpg.rf.26ecef14691a49a446f4033bfa985381.jpg,YOLOv8-FPN,0.25,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
167_jpg.rf.26ecef14691a49a446f4033bfa985381.jpg,YOLOv8n,0.5,3,0,0,0,3,0.0,0.0,0.0
167_jpg.rf.26ecef14691a49a446f4033bfa985381.jpg,YOLOv9c,0.5,3,1,0,1,3,0.0,0.0,0.0
167_jpg.rf.26ecef14691a49a446f4033bfa985381.jpg,YOLOv11,0.5,3,0,0,0,3,0.0,0.0,0.0
167_jpg.rf.26ecef14691a49a446f4033bfa985381.jpg,YOLOv12n,0.5,3,1,1,0,2,1.0,0.3333333333333333,0.5
167_jpg.rf.26ecef14691a49a446f4033bfa985381.jpg,YOLOv8-FPN,0.5,3,0,0,0,3,0.0,0.0,0.0
167_jpg.rf.26ecef14691a49a446f4033bfa985381.jpg,YOLOv8n,0.7,3,0,0,0,3,0.0,0.0,0.0
167_jpg.rf.26ecef14691a49a446f4033bfa985381.jpg,YOLOv9c,0.7,3,0,0,0,3,0.0,0.0,0.0
167_jpg.rf.26ecef14691a49a446f4033bfa985381.jpg,YOLOv11,0.7,3,0,0,0,3,0.0,0.0,0.0
167_jpg.rf.26ecef14691a49a446f4033bfa985381.jpg,YOLOv12n,0.7,3,0,0,0,3,0.0,0.0,0.0
167_jpg.rf.26ecef14691a49a446f4033bfa985381.jpg,YOLOv8-FPN,0.7,3,0,0,0,3,0.0,0.0,0.0
192_jpg.rf.f4e737fa4af8481f1decd5d87069b20a.jpg,YOLOv8n,0.25,1,3,1,2,0,0.3333333333333333,1.0,0.5
192_jpg.rf.f4e737fa4af8481f1decd5d87069b20a.jpg,YOLOv9c,0.25,1,1,1,0,0,1.0,1.0,1.0
192_jpg.rf.f4e737fa4af8481f1decd5d87069b20a.jpg,YOLOv11,0.25,1,1,1,0,0,1.0,1.0,1.0
192_jpg.rf.f4e737fa4af8481f1decd5d87069b20a.jpg,YOLOv12n,0.25,1,2,1,1,0,0.5,1.0,0.6666666666666666
192_jpg.rf.f4e737fa4af8481f1decd5d87069b20a.jpg,YOLOv8-FPN,0.25,1,2,1,1,0,0.5,1.0,0.6666666666666666
192_jpg.rf.f4e737fa4af8481f1decd5d87069b20a.jpg,YOLOv8n,0.5,1,1,1,0,0,1.0,1.0,1.0
192_jpg.rf.f4e737fa4af8481f1decd5d87069b20a.jpg,YOLOv9c,0.5,1,1,1,0,0,1.0,1.0,1.0
192_jpg.rf.f4e737fa4af8481f1decd5d87069b20a.jpg,YOLOv11,0.5,1,1,1,0,0,1.0,1.0,1.0
